operator_id,route_id
1727,6686
1365,1130
1365,1109
1365,1141
1365,6687
743,1668
743,1671
743,1253
743,1665
743,1664
743,3052
743,1666
743,2861
743,1672
743,1258
743,3013
743,2868
743,2936
703,4438
703,2957
703,4437
703,4435
703,5241
703,5221
703,1694
703,2772
703,4442
925,2750
925,2746
925,2743
925,2738
925,2977
925,2976
925,2979
925,2978
925,2735
925,2731
925,2996
925,2997
925,2724
925,2999
925,2723
925,2958
925,1880
925,2955
925,2715
925,2973
925,1858
925,1859
925,2967
925,2964
925,2965
925,2962
925,1853
925,3048
925,1855
925,1580
925,3050
925,3053
925,2815
925,3041
925,3040
925,3042
925,3044
925,3047
925,3046
925,2796
925,4697
925,2785
925,2777
925,2778
925,369
925,1544
925,2782
925,1546
925,1547
925,2768
925,1540
925,3011
925,1541
925,1542
925,1543
925,3015
925,1565
925,2760
925,2762
925,3039
925,1314
925,2759
925,2615
925,1762
925,1760
925,2855
925,2863
925,2870
925,2865
925,2595
925,1244
925,2873
925,1729
925,1728
925,1731
925,1730
925,1733
925,1732
925,1735
925,2836
925,1748
925,1752
925,1279
925,1755
925,2094
925,2093
925,2675
925,1703
925,1702
925,1701
925,1700
925,3098
925,1699
925,3101
925,1698
925,1697
925,2918
925,1696
925,2920
925,1711
925,1710
925,1709
925,1708
925,1707
925,1706
925,2925
925,1705
925,2926
925,1704
925,1718
925,2929
925,1719
925,3081
925,1717
925,1714
925,3084
925,2662
925,1715
925,2660
925,1712
925,1713
925,2937
925,1726
925,1725
925,3075
925,1722
925,1723
925,3077
925,1720
925,1420
925,3120
925,2899
925,1685
925,1686
925,3118
925,2903
925,1692
925,3107
925,1695
925,3105
925,1688
925,2636
925,2637
925,1690
925,3108
925,1691
925,3109
683,1687
683,2699
683,1693
683,2856
683,2895
945,2133
945,2748
945,2747
945,2744
945,2795
945,2928
945,3082
945,2792
945,2112
945,2798
945,3085
945,1348
945,2725
945,1346
945,1482
945,1344
945,389
945,1481
945,3078
945,2718
945,2956
945,2719
945,368
945,1332
945,3125
945,1334
945,2839
945,3035
945,3115
945,2972
945,3112
945,1566
945,2765
945,2696
945,1563
945,1562
945,2907
945,2906
945,3104
945,2755
945,2904
945,5921
945,241
945,2961
485,2897
485,2752
485,348
485,4441
444,2716
444,2988
444,2678
444,1677
444,1500
444,2770
444,2923
444,1678
444,2655
444,6447
444,1808
444,1806
444,2658
444,2701
444,2975
444,1805
444,3001
444,2864
444,1661
444,1682
444,2866
444,6122
444,2791
444,2689
363,1100
363,4537
363,1101
363,4536
363,1102
363,1103
363,1096
363,6102
363,1097
363,1098
363,1099
363,1905
363,1092
363,1093
363,1904
363,1094
363,1095
363,1088
363,1089
363,1090
363,1091
363,1117
363,1116
363,1119
363,1118
363,5481
363,1113
363,1112
363,1115
363,1114
363,1108
363,1111
363,1110
363,1105
363,1104
363,1107
363,1106
363,1134
363,1135
363,1132
363,1133
363,4235
363,1131
363,1128
363,1129
363,1126
363,1127
363,1124
363,1125
363,1122
363,1123
363,1120
363,1121
363,4355
363,3449
363,1143
363,1142
363,1141
363,1140
363,5581
363,1139
363,1138
363,1137
363,1136
363,3646
363,5561
363,5562
363,6022
363,1066
363,1067
363,1064
363,1065
363,1070
363,1071
363,1068
363,1069
363,1062
363,1063
363,1083
363,1082
363,1081
363,1080
363,1087
363,1086
363,1085
363,1084
363,1075
363,1074
363,1073
363,6223
363,1072
363,1079
363,1078
363,1077
363,1076
489,1548
489,2783
489,3122
489,1741
489,1335
489,1742
489,2436
489,2869
489,2794
489,3000
489,2729
489,2998
489,2756
443,3832
443,2741
443,2739
443,5961
443,2733
443,2732
443,1663
443,1662
443,1660
443,2727
443,2726
443,2717
443,2714
443,2708
443,2709
443,6002
443,2710
443,2705
443,2701
443,2700
443,2703
443,2702
443,2695
443,2688
443,2213
443,2786
443,2784
443,2789
443,2788
443,1549
443,2781
443,5941
443,5942
443,2293
443,2764
443,5381
443,1763
443,1761
443,1766
443,1764
443,6082
443,3136
443,3137
443,6406
443,1734
443,1737
443,1736
443,1743
443,1744
443,1749
443,1750
443,6426
443,1753
443,6427
443,6430
443,2092
443,6428
443,6429
443,2132
443,5081
443,3100
443,3103
443,3102
443,2681
443,2680
443,2687
443,2686
443,2684
443,2659
443,3086
443,3076
443,1669
443,1670
443,3135
443,231
443,3123
443,1676
443,2173
443,1679
443,1673
443,1675
443,3124
443,1680
443,1681
443,3116
443,3117
443,2636
443,3110
443,2990
443,2985
443,2984
443,2986
443,2980
443,3005
443,5721
443,3007
443,3002
443,264
443,4159
443,2959
443,304
443,2475
443,6303
443,2966
443,5201
443,1860
443,5202
443,2960
443,1849
443,338
443,1848
443,1851
443,1850
443,1845
443,1844
443,3043
443,1847
443,1846
443,1841
443,6387
443,1840
443,1843
443,1842
443,1836
443,1837
443,1838
443,1839
443,1832
443,1833
443,1834
443,1835
443,1828
443,1829
443,1830
443,1831
443,1824
443,3019
443,1823
443,1822
443,3018
443,1821
443,1820
443,3016
443,1814
443,3009
443,1813
443,1812
443,3008
443,1811
443,1810
443,3014
443,2556
443,1804
443,3038
443,1802
443,1803
443,1800
443,6346
443,3036
443,1801
443,367
443,3401
443,2860
443,1503
443,2862
443,2313
443,2857
443,2858
443,2859
443,3422
443,2871
443,2867
443,2876
443,2872
443,2874
443,1521
443,2817
443,3430
443,2012
443,5343
443,2843
443,2840
443,2916
443,2921
443,2931
443,6243
443,2933
443,2932
443,2935
443,2934
443,2938
443,1460
443,1440
443,2898
443,2902
443,2905
443,2910
443,2909
443,2908
362,5981
362,2193
362,6566
362,3810
362,6586
362,5482
362,3812
362,3319
362,3326
362,1600
362,6001
362,3327
362,1602
362,3325
362,1603
362,3322
362,3320
362,3321
362,3302
362,3301
362,3300
362,3299
362,4896
362,1621
362,1620
362,3791
362,3790
362,1582
362,1581
362,3219
362,4476
362,4477
362,4478
362,4479
362,6626
362,3750
362,4455
362,6647
362,6646
362,4977
362,1550
362,4979
362,1545
362,4981
362,4440
362,3707
362,2072
362,3155
362,5004
362,5005
362,5003
362,5001
362,1245
362,1246
362,4997
362,1247
362,1242
362,1255
362,1251
362,1250
362,1734
362,1736
362,3667
362,1261
362,1260
362,1740
362,1743
362,1256
362,6142
362,1744
362,1747
362,1266
362,1749
362,3176
362,1265
362,4482
362,1278
362,4483
362,4480
362,1276
362,4481
362,4486
362,1274
362,4484
362,4485
362,4596
362,1160
362,6044
362,6043
362,6042
362,6507
362,6506
362,221
362,223
362,6526
362,1180
362,239
362,1668
362,238
362,1671
362,237
362,5521
362,1670
362,236
362,1665
362,235
362,6466
362,1664
362,234
362,233
362,232
362,1666
362,230
362,229
362,2173
362,228
362,2172
362,1672
362,226
